data,valor,codigo,historico_completo
11/04/2025,20566.0,9C2KC2200TR607221,TRANSFERENCIA ENTRE CONTAS         9C2KC2200TR607221        
11/04/2025,461.4,RES024875370001,PAGAMENTO A FORNECEDORES           RES024875370001          
11/04/2025,714.46,RES024875371001,PAGAMENTO A FORNECEDORES           RES024875371001          
11/04/2025,14000.0,9C2KC2210RR023527,TRANSFERENCIA ENTRE CONTAS         9C2KC2210RR023527        
11/04/2025,18024.0,9C2KC2210TR018583,TRANSFERENCIA ENTRE CONTAS         9C2KC2210TR018583        
11/04/2025,15499.0,9C2KD0810LR067578,TRANSFERENCIA ENTRE CONTAS         9C2KD0810LR067578        
11/04/2025,19269.25,9C2KD0820TR017754,TRANSFERENCIA ENTRE CONTAS         9C2KD0820TR017754        
11/04/2025,21000.0,9C2ND1740TR002606,TRANSFERENCIA ENTRE CONTAS         9C2ND1740TR002606        
